idsolicitud,idsolicitud_acancelar,estado,saldocuota,saldomora,totaldeuda
"000018440","000016955","PAGO","0.00","0.00","0.00"
"000018443","000017551","PAGO","0.00","1.20","1.20"
"000018444","000017739","PAGO","272.50","0.00","272.50"
"000018445","000017753","PAGO","0.00","3.20","3.20"
"000018452","000016360","PAGO","0.00","0.90","0.90"
"000018453","000017661","PAGO","0.00","1.60","1.60"
"000018457","000017475","PAGO","702.40","0.00","702.40"
"000018463","000017829","PAGO","136.10","0.60","136.70"
"000018465","000017714","PAGO","43.90","0.00","43.90"
"000018467","000016764","PAGO","0.00","1.60","1.60"
"000018472","000017806","PAGO","272.50","0.80","273.30"
"000018473","000017379","PAGO","23.50","0.00","23.50"
"000018476","000017742","PAGO","272.50","0.80","273.30"
"000018477","000017733","PAGO","105.00","0.30","105.30"
"000018478","000017567","PAGO","143.60","0.80","144.40"
